Название;Цена;Город;Дата размещения;Ссылка на фото;Ссылка на страницу
iPhone X 256 Новый;30 500 ;Москва;5 июля 15:15;https://68.img.avito.st/208x156/8878411568.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_256_novyy_1961388066?slocation=621540
iPhone X;25 000 ;Санкт-Петербург;5 июля 15:54;https://50.img.avito.st/208x156/8878820250.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_1953760732?slocation=621540
Айфон x 256 gb;35 000 ;Москва;5 июля 16:22;https://40.img.avito.st/208x156/8719632640.jpg;https://www.avito.ru/rossiya/moskva/telefony/ayfon_x_256_gb_1932848947?slocation=621540
iPhone X 64GB Silver Без Face ID б/у, рассрочка;28 500 ;Тверская область, Тверь;5 июля 19:30;https://18.img.avito.st/208x156/8869136218.jpg;https://www.avito.ru/rossiya/tver/telefony/iphone_x_64gb_silver_bez_face_id_bu_rassrochka_1970915301
iPhone X 64 gb;23 000 ;Москва;5 июля 16:38;https://64.img.avito.st/208x156/8879060964.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_64_gb_1972490947?slocation=621540
iPhone x;38 000 ;Челябинская область, Челябинск;5 июля 18:14;https://62.img.avito.st/208x156/5511442162.jpg;https://www.avito.ru/rossiya/chelyabinsk/telefony/iphone_x_1505677506?slocation=621540
iPhone X 64GB;20 000 ;Рязанская область, Рязань;5 июля 18:07;https://59.img.avito.st/208x156/8879553559.jpg;https://www.avito.ru/rossiya/ryazan/telefony/iphone_x_64gb_1961635705?slocation=621540
iPhone X 256gb Black;33 000 ;Челябинская область, Магнитогорск;5 июля 18:27;https://80.img.avito.st/208x156/8879581480.jpg;https://www.avito.ru/rossiya/magnitogorsk/telefony/iphone_x_256gb_black_1950676014?slocation=621540
iPhone 7, 6s, 8, 7 plus,X,Xr, 5s, 4s;2 990 ;Нижегородская область, Нижний Новгород;5 июля 20:14;https://66.img.avito.st/208x156/7998929866.jpg;https://www.avito.ru/rossiya/nizhniy_novgorod/telefony/iphone_7_6s_8_7_plusxxr_5s_4s_1866579605
iPhone X 256gb;30 500 ;Москва;5 июля 15:16;https://82.img.avito.st/208x156/8878448682.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_256gb_1969819686?slocation=621540
